,체력,공격,방어,스피드,특수공격,특수방어,점수,승률,포켓몬_번호,사용한_기술의_위력,결과
71,76,21,21,16,10,39,13.0,10.0,615,32,0
72,61,35,28,11,22,23,35.0,51.0,603,95,1
73,35,25,14,38,31,39,34.0,78.0,428,99,1
74,81,27,23,29,18,37,76.0,83.0,1001,61,1
75,27,38,12,20,20,39,52.0,41.0,946,9,0
76,83,34,29,29,20,12,54.0,32.0,594,42,0
77,21,48,20,18,30,11,67.0,92.0,1012,69,1
78,94,22,23,25,29,23,61.0,59.0,225,61,1
79,25,40,32,21,37,34,87.0,18.0,46,4,0
80,65,42,33,35,40,11,26.0,20.0,682,38,0
81,60,22,37,25,24,23,2.0,88.0,590,59,1
82,33,34,24,25,38,14,41.0,85.0,241,68,1
83,41,40,39,34,20,11,44.0,61.0,920,84,1
84,28,49,12,38,36,22,100.0,80.0,38,58,1
85,73,24,36,27,27,38,20.0,13.0,684,37,0
86,92,36,16,19,22,27,23.0,66.0,987,96,1
87,58,31,12,38,12,14,79.0,3.0,91,11,0
88,88,41,37,38,37,34,45.0,7.0,742,33,0
89,52,34,37,20,24,20,23.0,82.0,418,62,1
90,38,49,21,40,12,32,5.0,43.0,841,28,0
91,68,38,28,11,39,18,71.0,21.0,397,17,0
92,97,45,16,24,12,18,22.0,58.0,71,84,1
93,45,44,26,30,20,36,83.0,83.0,107,79,1
94,38,32,29,22,14,13,8.0,96.0,879,54,1
95,76,50,23,33,25,26,45.0,66.0,31,78,1
96,51,22,21,16,34,36,91.0,68.0,253,63,1
97,94,35,12,10,37,11,12.0,8.0,823,6,0
98,92,23,37,19,30,26,56.0,21.0,108,12,0
99,76,25,21,21,25,22,19.0,3.0,380,33,0
100,62,21,37,32,26,38,72.0,61.0,593,74,1
101,69,32,15,37,40,11,93.0,57.0,560,66,1
102,53,24,32,39,25,33,30.0,74.0,581,88,1
103,96,35,38,40,11,27,3.0,17.0,1023,14,0
104,46,26,31,17,21,27,77.0,4.0,115,11,0
105,89,47,26,10,23,11,95.0,94.0,828,72,1
106,75,34,10,30,25,25,93.0,60.0,177,80,1
107,78,35,31,38,24,13,82.0,73.0,555,73,1
108,28,47,37,19,35,19,67.0,90.0,1013,93,1
109,50,47,24,12,27,20,69.0,49.0,498,12,0
110,77,37,21,13,40,17,84.0,68.0,1003,77,1
111,75,43,27,31,27,28,62.0,5.0,868,18,0
112,52,50,36,32,33,40,0.0,100.0,376,79,1
113,91,27,40,29,29,19,43.0,8.0,361,45,0
114,36,31,18,31,20,40,43.0,12.0,868,19,0
115,89,25,14,30,32,29,59.0,30.0,861,16,0
116,21,37,28,40,30,17,95.0,18.0,691,46,0
117,51,30,14,16,33,24,59.0,6.0,1018,2,0
118,89,25,39,10,40,20,42.0,28.0,119,41,0
119,97,48,32,18,31,36,84.0,2.0,112,10,0
120,95,48,29,26,26,11,30.0,21.0,53,21,0
121,34,31,32,25,37,33,1.0,69.0,79,95,1
122,70,37,24,16,17,23,45.0,76.0,292,57,1
123,26,31,24,23,32,38,13.0,9.0,642,22,0
124,33,44,18,21,23,24,43.0,72.0,136,85,1
125,87,49,38,11,18,21,82.0,44.0,815,27,0
126,49,23,37,19,10,37,94.0,53.0,72,82,1
127,55,29,13,28,10,10,32.0,32.0,155,12,0
128,52,49,24,27,25,13,6.0,52.0,338,83,1
129,57,29,35,31,12,16,60.0,9.0,567,23,0
130,95,35,38,17,32,15,11.0,39.0,683,44,0
131,30,44,17,21,11,35,80.0,84.0,803,65,1
132,44,39,14,15,21,34,47.0,16.0,742,49,0
133,63,27,24,33,10,16,82.0,67.0,500,59,1
134,42,24,14,28,35,25,28.0,13.0,88,28,0
135,30,47,28,12,15,33,37.0,10.0,1009,47,0
136,36,40,25,39,20,39,26.0,63.0,547,74,1
137,53,36,38,36,39,21,51.0,36.0,714,47,0
138,56,47,18,26,25,31,59.0,60.0,79,53,1
139,44,28,19,38,20,33,89.0,2.0,109,32,0
140,24,50,25,31,35,26,32.0,70.0,739,80,1
141,48,23,37,22,34,26,68.0,73.0,239,64,1
142,76,43,29,12,30,22,78.0,15.0,316,45,0
143,81,43,28,22,36,34,8.0,1.0,202,41,0
144,32,34,23,35,28,15,81.0,50.0,477,74,1
145,91,41,25,32,20,11,82.0,56.0,218,93,1
146,49,26,16,26,15,13,57.0,51.0,33,98,1
147,76,25,25,15,25,40,94.0,19.0,657,47,0
148,63,20,25,29,32,37,90.0,76.0,700,80,1
149,77,45,39,39,32,28,22.0,0.0,383,1,0
150,52,20,12,13,38,31,66.0,26.0,311,11,0
151,93,40,34,14,38,39,3.0,94.0,753,77,1
152,33,49,38,11,23,35,88.0,74.0,1024,67,1
153,53,44,15,10,38,26,92.0,17.0,330,35,0
154,56,27,16,26,35,39,14.0,22.0,74,6,0
155,32,27,32,11,24,11,98.0,57.0,192,99,1
156,22,41,13,26,22,13,21.0,1.0,779,27,0
157,73,35,22,39,37,12,52.0,27.0,95,44,0
158,92,39,21,26,23,13,81.0,97.0,1009,59,1
159,57,25,23,24,28,16,87.0,93.0,777,64,1
160,20,29,30,29,18,10,88.0,44.0,998,20,0
161,96,44,27,38,23,23,65.0,45.0,66,26,0
162,79,45,12,12,18,30,80.0,11.0,851,40,0
163,27,48,39,29,34,18,71.0,28.0,749,19,0
164,63,23,30,23,10,21,74.0,43.0,436,49,0
165,80,43,22,13,14,17,20.0,94.0,113,79,1
166,65,41,37,35,29,25,36.0,9.0,652,16,0
167,61,35,37,36,13,26,12.0,83.0,951,59,1
168,42,45,23,11,14,39,98.0,39.0,41,6,0
169,53,33,38,38,33,16,20.0,5.0,53,46,0
170,49,26,16,24,10,15,53.0,78.0,391,59,1
171,42,44,34,13,19,29,10.0,55.0,1005,61,1
172,48,30,10,13,25,24,9.0,62.0,400,62,1
173,99,42,23,13,15,19,3.0,75.0,392,99,1
174,50,20,23,27,27,32,59.0,50.0,107,94,1
175,40,24,29,12,35,20,4.0,76.0,364,75,1
176,82,29,26,22,33,27,31.0,32.0,328,2,0
177,83,29,33,11,40,31,98.0,81.0,161,54,1
178,45,49,27,22,40,18,5.0,90.0,265,58,1
179,80,29,35,13,10,16,63.0,21.0,581,39,0
180,32,50,15,38,29,21,80.0,60.0,59,59,1
181,84,38,40,24,20,28,79.0,75.0,462,61,1
182,54,36,17,14,19,11,83.0,49.0,361,39,0
183,40,27,16,21,34,34,3.0,26.0,260,10,0
184,53,31,40,16,13,34,93.0,58.0,630,60,1
185,38,23,40,39,32,15,10.0,15.0,909,34,0
186,30,25,32,13,29,24,59.0,3.0,379,48,0
187,36,25,14,21,30,26,79.0,34.0,365,28,0
188,63,37,22,36,15,14,8.0,96.0,960,97,1
189,77,43,31,15,39,15,92.0,32.0,985,21,0
190,32,33,29,35,34,36,98.0,56.0,292,69,1
191,81,20,11,24,15,25,63.0,100.0,187,65,1
192,48,37,12,20,24,16,46.0,44.0,518,20,0
193,87,22,19,34,25,24,96.0,34.0,649,36,0
194,77,28,11,24,39,21,4.0,98.0,650,62,1
195,39,20,26,32,18,40,52.0,68.0,734,65,1
196,49,33,10,27,14,18,4.0,27.0,926,25,0
197,31,47,38,38,32,22,56.0,31.0,204,42,0
198,93,44,35,28,16,13,91.0,100.0,154,81,1
199,74,39,37,28,27,30,95.0,32.0,612,23,0
200,60,45,32,28,24,10,48.0,100.0,332,99,1
201,86,39,10,26,38,22,37.0,30.0,594,9,0
202,56,47,31,33,26,31,100.0,84.0,349,76,1
203,41,40,38,20,29,11,38.0,7.0,628,49,0
204,71,21,27,17,33,16,59.0,86.0,61,95,1
205,100,20,10,33,35,30,27.0,77.0,554,59,1
206,40,30,29,28,27,33,85.0,93.0,801,76,1
207,32,31,23,40,35,34,80.0,70.0,778,56,1
208,83,46,18,16,35,21,27.0,62.0,384,86,1
209,95,44,26,17,17,33,17.0,76.0,749,85,1
210,42,26,27,18,16,15,5.0,35.0,148,6,0
211,68,38,37,20,18,37,13.0,34.0,347,42,0
212,51,49,22,22,18,40,48.0,24.0,832,3,0
213,46,45,27,12,38,13,18.0,17.0,632,23,0
214,95,29,22,26,36,18,77.0,83.0,170,69,1
215,22,35,37,35,16,27,44.0,84.0,4,69,1
216,49,22,15,15,34,26,94.0,77.0,719,99,1
217,32,35,36,29,16,24,34.0,71.0,960,58,1
218,71,39,13,22,24,19,12.0,6.0,329,42,0
219,67,47,35,30,25,39,20.0,80.0,152,97,1
220,97,36,20,23,29,36,24.0,4.0,9,3,0
221,76,35,35,12,22,34,39.0,70.0,573,52,1
222,90,26,28,38,14,15,53.0,98.0,588,94,1
223,34,29,17,39,33,22,9.0,37.0,279,13,0
224,100,50,11,37,10,20,29.0,76.0,172,76,1
225,99,21,39,24,35,16,11.0,4.0,424,28,0
226,89,28,13,27,36,24,68.0,1.0,310,32,0
227,41,35,18,13,40,20,24.0,8.0,977,17,0
228,40,27,31,37,35,15,59.0,67.0,991,61,1
229,68,36,40,31,40,32,25.0,74.0,396,54,1
230,24,46,13,38,38,20,7.0,63.0,621,58,1
231,24,49,33,20,40,16,56.0,7.0,184,34,0
232,98,48,25,15,40,39,6.0,13.0,320,32,0
233,53,25,28,25,14,36,39.0,2.0,338,12,0
234,22,32,31,14,29,26,57.0,34.0,503,21,0
235,100,24,16,18,24,14,44.0,4.0,789,2,0
236,20,50,11,26,29,14,50.0,25.0,866,36,0
237,33,34,22,40,30,19,63.0,14.0,998,39,0
238,42,49,30,40,38,27,60.0,80.0,935,95,1
239,66,42,10,21,22,14,72.0,12.0,360,26,0
240,46,45,38,30,12,10,49.0,59.0,67,85,1
241,82,36,31,18,16,31,24.0,81.0,282,72,1
242,34,26,16,31,34,17,100.0,75.0,34,64,1
243,32,48,14,36,10,32,77.0,65.0,540,66,1
244,73,42,23,22,19,40,18.0,94.0,653,57,1
245,92,20,27,16,28,21,59.0,50.0,225,95,1
246,62,45,30,21,39,13,77.0,75.0,600,86,1
247,69,48,31,17,34,27,65.0,46.0,20,23,0
248,67,40,40,31,22,30,44.0,19.0,559,22,0
249,63,41,10,16,12,21,35.0,42.0,259,15,0
250,37,42,39,34,16,30,67.0,96.0,608,51,1
251,85,24,15,40,36,40,55.0,28.0,1006,16,0
252,38,44,20,38,34,27,18.0,81.0,159,85,1
253,32,24,26,20,17,31,48.0,65.0,64,90,1
254,33,42,40,22,39,36,92.0,20.0,553,49,0
255,40,50,24,14,15,22,36.0,73.0,371,70,1
256,46,36,35,27,12,28,96.0,83.0,445,99,1
257,93,43,10,36,32,19,79.0,54.0,86,58,1
258,56,35,21,32,40,37,63.0,87.0,804,51,1
259,37,36,10,20,13,19,41.0,29.0,183,18,0
260,35,27,30,23,12,14,95.0,43.0,633,32,0
261,82,33,32,21,30,33,15.0,64.0,150,85,1
262,80,42,33,38,12,34,9.0,16.0,477,41,0
263,90,25,29,24,24,20,59.0,61.0,921,88,1
264,51,30,12,32,25,36,33.0,61.0,895,63,1
265,63,37,11,24,13,15,81.0,33.0,561,41,0
266,36,33,40,10,21,22,19.0,21.0,628,44,0
267,46,29,31,28,20,37,56.0,70.0,627,74,1
268,77,32,23,10,11,22,12.0,33.0,769,27,0
269,22,37,13,17,28,18,75.0,56.0,243,72,1
270,83,43,28,37,24,33,18.0,28.0,910,31,0
271,29,37,12,20,30,39,79.0,7.0,998,2,0
272,61,30,24,20,18,15,58.0,28.0,672,25,0
273,39,29,36,35,24,35,22.0,35.0,830,1,0
274,75,40,38,29,20,19,11.0,71.0,198,85,1
275,53,24,18,31,14,38,47.0,96.0,918,77,1
276,62,46,27,14,30,24,76.0,85.0,380,76,1
277,66,24,40,34,27,10,66.0,2.0,1016,40,0
278,28,42,19,15,39,18,95.0,50.0,18,78,1
279,25,20,26,32,30,18,51.0,93.0,372,90,1
280,52,26,25,38,28,38,63.0,56.0,190,80,1
281,78,47,31,24,38,24,30.0,19.0,693,33,0
282,41,45,22,33,27,39,38.0,53.0,259,78,1
283,89,24,27,33,20,24,39.0,2.0,675,48,0
284,69,24,19,20,17,29,0.0,14.0,588,1,0
285,94,20,11,30,33,27,67.0,67.0,434,54,1
286,48,31,33,38,26,36,96.0,69.0,194,83,1
287,41,43,36,17,26,17,8.0,92.0,990,53,1
288,41,40,33,15,11,30,17.0,78.0,1004,50,1
289,28,29,19,33,11,34,54.0,11.0,460,44,0
290,95,28,38,14,26,25,78.0,98.0,675,72,1
291,61,48,22,15,36,22,69.0,79.0,698,83,1
292,88,37,14,23,20,23,66.0,38.0,947,45,0
293,40,27,36,32,28,20,65.0,35.0,192,42,0
294,87,39,39,15,23,26,14.0,13.0,708,0,0
295,46,25,36,29,26,25,80.0,27.0,534,10,0
296,67,48,32,22,27,34,69.0,11.0,262,25,0
297,47,29,13,38,33,15,18.0,59.0,281,80,1
298,84,25,19,35,16,30,69.0,36.0,198,48,0
299,25,32,32,39,25,37,46.0,61.0,639,63,1
300,50,50,34,17,33,29,17.0,24.0,155,23,0
301,91,47,34,12,14,11,65.0,57.0,1010,99,1
302,23,39,19,24,35,35,16.0,41.0,1005,48,0
303,58,37,37,12,18,37,41.0,87.0,580,61,1
304,32,46,18,30,40,29,88.0,7.0,653,0,0
305,22,34,23,19,12,21,34.0,0.0,5,11,0
306,54,24,11,40,12,37,20.0,31.0,934,36,0
307,66,39,21,30,10,38,31.0,31.0,475,1,0
308,95,20,22,32,29,33,95.0,66.0,615,54,1
309,44,42,30,11,34,14,91.0,3.0,1006,22,0
310,36,28,17,37,20,17,27.0,87.0,706,68,1
311,60,20,12,33,34,35,32.0,62.0,9,54,1
312,40,32,33,15,31,12,76.0,36.0,821,12,0
313,58,42,11,36,20,10,99.0,35.0,469,27,0
314,93,22,38,26,15,31,15.0,27.0,98,10,0
315,89,22,40,29,33,29,37.0,3.0,13,4,0
316,52,31,34,39,34,13,76.0,53.0,994,82,1
317,63,21,29,32,18,26,64.0,58.0,891,61,1
318,27,36,22,27,25,31,50.0,65.0,532,77,1
319,98,45,20,11,31,39,6.0,17.0,72,46,0
320,67,38,25,20,30,24,99.0,46.0,598,21,0
321,76,32,23,13,34,18,10.0,92.0,637,58,1
322,47,45,33,10,17,12,85.0,3.0,45,10,0
323,46,40,30,37,40,30,37.0,85.0,542,72,1
324,46,31,32,16,40,27,94.0,98.0,195,91,1
325,36,32,39,15,26,40,94.0,77.0,160,94,1
326,99,46,39,38,11,13,80.0,60.0,705,70,1
327,55,37,12,35,28,22,5.0,39.0,706,11,0
328,50,28,21,14,15,36,83.0,15.0,1010,22,0
329,81,50,39,19,22,38,30.0,12.0,770,5,0
330,81,20,26,28,20,11,86.0,48.0,530,17,0
331,35,29,15,22,12,22,74.0,53.0,117,97,1
332,26,43,21,30,20,16,86.0,6.0,729,17,0
333,71,47,35,40,22,27,76.0,70.0,158,85,1
334,30,48,15,38,39,26,18.0,23.0,551,11,0
335,96,49,31,23,35,22,14.0,44.0,520,23,0
336,66,37,21,15,23,40,59.0,79.0,910,56,1
337,45,35,30,22,31,26,82.0,60.0,491,51,1
338,83,41,37,14,10,15,82.0,81.0,105,90,1
339,90,22,27,39,22,26,67.0,50.0,318,52,1
340,71,35,21,37,24,33,45.0,59.0,889,56,1
341,84,28,14,34,34,37,92.0,97.0,171,71,1
342,96,48,23,22,28,24,40.0,37.0,333,32,0
343,24,32,18,38,22,35,5.0,28.0,425,21,0
344,31,23,27,13,33,24,42.0,6.0,830,27,0
345,51,27,34,19,23,22,46.0,22.0,229,13,0
346,52,36,35,31,16,17,12.0,60.0,327,51,1
347,62,50,30,13,40,26,41.0,93.0,215,85,1
348,22,25,17,24,31,33,81.0,59.0,812,57,1
349,75,27,25,32,16,17,82.0,43.0,277,4,0
350,47,22,20,35,12,32,95.0,6.0,74,42,0
351,75,21,28,21,39,10,37.0,40.0,938,9,0
352,57,35,12,14,29,30,39.0,97.0,725,100,1
353,99,26,38,28,29,37,4.0,99.0,907,80,1
354,72,26,37,34,11,35,65.0,81.0,351,97,1
355,31,32,11,13,10,31,0.0,8.0,986,41,0
356,39,29,29,31,40,12,79.0,63.0,168,60,1
357,26,23,25,24,19,40,60.0,49.0,257,4,0
358,83,39,18,18,15,35,11.0,11.0,752,33,0
359,51,46,33,37,33,23,91.0,3.0,412,23,0
360,100,26,37,40,13,31,70.0,11.0,556,29,0
361,56,22,37,10,12,20,0.0,32.0,410,34,0
362,29,46,18,37,21,23,47.0,53.0,886,74,1
363,64,26,29,37,10,31,100.0,21.0,291,10,0
364,61,40,13,38,20,17,34.0,1.0,491,43,0
365,29,21,25,28,37,35,61.0,17.0,612,13,0
366,58,47,38,18,13,18,48.0,8.0,896,46,0
367,81,43,34,24,39,33,69.0,82.0,563,96,1
368,20,46,23,22,39,32,1.0,70.0,316,73,1
369,61,49,31,15,15,34,59.0,96.0,956,71,1
370,31,32,30,12,27,40,83.0,66.0,271,65,1
371,71,48,22,19,34,16,5.0,64.0,460,100,1
372,65,46,13,18,38,39,76.0,98.0,655,55,1
373,66,46,27,36,22,12,84.0,0.0,42,15,0
374,88,39,13,25,14,16,65.0,78.0,896,95,1
375,76,22,28,37,14,13,25.0,72.0,102,77,1
376,88,26,21,16,12,28,61.0,50.0,852,91,1
377,51,36,24,18,17,34,72.0,17.0,551,4,0
378,38,50,23,10,15,30,91.0,29.0,918,48,0
379,74,28,40,27,28,14,54.0,54.0,643,78,1
380,36,42,32,12,28,10,76.0,53.0,237,99,1
381,57,41,19,19,31,12,21.0,79.0,733,99,1
382,82,22,15,16,21,26,91.0,37.0,792,3,0
383,93,26,22,38,17,24,47.0,41.0,1006,25,0
384,72,23,28,22,36,21,84.0,15.0,225,45,0
385,74,30,18,34,37,16,70.0,34.0,540,31,0
386,65,43,38,35,27,10,12.0,26.0,4,42,0
387,56,32,40,23,23,33,99.0,93.0,806,66,1
388,44,38,11,27,28,28,60.0,49.0,553,40,0
389,61,47,30,34,30,16,95.0,94.0,231,61,1
390,75,32,18,22,30,39,70.0,1.0,395,15,0
391,30,44,21,33,35,28,41.0,94.0,97,79,1
392,58,41,32,40,11,30,87.0,27.0,444,30,0
393,25,21,30,39,20,30,74.0,46.0,899,22,0
394,81,21,38,28,24,36,8.0,69.0,589,81,1
395,57,35,39,20,16,32,77.0,96.0,962,62,1
396,28,42,40,16,20,33,44.0,75.0,82,65,1
397,46,25,10,30,12,30,58.0,83.0,982,56,1
398,78,43,36,26,33,16,1.0,20.0,973,33,0
399,23,38,40,18,12,14,52.0,42.0,177,39,0
400,24,50,32,16,18,26,6.0,24.0,582,10,0
401,59,40,27,23,25,37,90.0,97.0,932,65,1
402,99,27,22,19,28,35,46.0,90.0,574,69,1
403,62,34,32,30,31,29,78.0,56.0,285,51,1
404,98,21,24,26,23,13,36.0,26.0,290,47,0
405,49,27,31,31,22,20,80.0,33.0,761,31,0
406,88,25,30,37,28,16,85.0,23.0,398,14,0
407,45,28,27,15,40,25,25.0,55.0,311,84,1
408,35,26,13,22,38,28,33.0,29.0,905,48,0
409,38,35,20,12,15,24,49.0,55.0,776,93,1
410,76,45,28,22,33,36,60.0,67.0,298,78,1
411,69,32,12,36,21,11,81.0,55.0,446,59,1
412,48,23,30,14,24,26,44.0,83.0,330,74,1
413,65,47,20,22,21,23,9.0,42.0,807,49,0
414,29,36,34,16,10,11,76.0,75.0,232,96,1
415,35,50,23,12,12,24,44.0,97.0,148,91,1
416,41,21,40,25,27,18,11.0,73.0,98,57,1
417,54,47,24,36,29,16,75.0,11.0,97,30,0
418,30,27,22,33,33,36,90.0,95.0,148,69,1
419,85,35,18,40,39,37,57.0,55.0,1019,97,1
420,73,49,18,18,26,33,71.0,12.0,515,26,0
421,70,32,12,34,21,26,42.0,95.0,592,82,1
422,60,27,27,26,38,19,33.0,78.0,399,54,1
423,46,45,24,18,19,15,48.0,74.0,1008,76,1
424,97,27,37,38,40,25,17.0,36.0,838,28,0
425,72,27,13,21,34,34,50.0,58.0,624,96,1
426,29,21,37,22,18,38,53.0,82.0,582,60,1
427,41,49,25,39,32,15,21.0,29.0,410,42,0
428,64,31,37,12,23,36,70.0,90.0,513,73,1
429,94,21,17,20,11,12,59.0,48.0,279,45,0
430,21,50,36,12,19,29,98.0,30.0,540,39,0
431,59,31,10,11,40,20,71.0,40.0,16,11,0
432,64,26,10,19,21,11,81.0,87.0,579,74,1
433,68,43,34,23,22,20,94.0,73.0,820,51,1
434,88,21,37,12,22,28,36.0,67.0,1,98,1
435,29,47,12,26,13,23,40.0,24.0,106,22,0
436,62,25,33,39,24,14,8.0,95.0,21,63,1
437,24,44,35,12,31,35,68.0,16.0,74,33,0
438,44,40,39,13,19,39,43.0,43.0,243,20,0
439,83,34,17,38,17,24,35.0,92.0,732,60,1
440,84,27,26,12,35,12,95.0,44.0,56,10,0
441,39,50,35,14,16,32,40.0,97.0,417,88,1
442,72,31,31,20,35,10,92.0,6.0,727,24,0
443,56,24,36,33,10,25,86.0,70.0,602,63,1
444,56,24,29,33,33,19,56.0,62.0,535,79,1
445,76,29,31,10,18,22,10.0,30.0,272,4,0
446,98,30,34,24,16,34,0.0,42.0,300,45,0
447,25,21,27,14,23,12,63.0,41.0,131,0,0
448,85,41,32,16,14,30,98.0,98.0,512,97,1
449,46,23,25,35,27,29,94.0,85.0,667,71,1
450,79,41,38,28,10,22,71.0,67.0,460,96,1
451,81,24,39,15,39,20,11.0,8.0,413,3,0
452,82,36,10,14,28,14,98.0,8.0,199,20,0
453,61,43,35,28,27,28,31.0,80.0,914,79,1
454,29,28,11,18,37,13,72.0,70.0,290,96,1
455,21,44,30,25,12,40,98.0,56.0,754,52,1
456,73,25,13,11,18,33,8.0,68.0,673,54,1
457,49,36,34,11,11,37,72.0,91.0,806,60,1
458,69,22,23,20,11,23,89.0,41.0,353,24,0
459,47,25,37,35,17,18,52.0,74.0,431,83,1
460,90,35,15,22,40,33,46.0,58.0,809,69,1
461,25,36,32,30,27,39,27.0,10.0,570,47,0
462,58,48,16,19,32,35,11.0,48.0,147,0,0
463,100,48,20,35,27,15,53.0,90.0,367,52,1
464,83,33,14,34,32,15,42.0,76.0,734,85,1
465,38,40,12,35,22,22,70.0,36.0,76,8,0
466,94,31,26,20,38,40,82.0,29.0,134,32,0
467,90,29,40,12,34,35,38.0,20.0,552,17,0
468,92,25,14,11,26,36,10.0,89.0,650,62,1
469,47,33,29,36,27,37,100.0,58.0,694,64,1
470,34,35,10,40,22,14,74.0,50.0,212,90,1
471,66,27,33,33,18,15,36.0,8.0,396,15,0
472,57,46,21,21,27,16,71.0,59.0,840,73,1
473,20,26,11,33,25,21,45.0,72.0,640,100,1
474,76,40,30,36,23,33,69.0,83.0,501,57,1
475,92,35,30,19,20,27,30.0,3.0,427,21,0
476,51,27,10,23,11,34,71.0,83.0,340,81,1
477,65,40,31,14,30,23,53.0,64.0,116,80,1
478,67,26,14,21,21,22,77.0,93.0,288,53,1
479,27,46,24,32,29,38,74.0,60.0,931,90,1
480,31,29,34,22,18,12,62.0,24.0,648,48,0
481,87,48,22,34,34,31,100.0,46.0,686,43,0
482,20,43,22,12,26,31,4.0,70.0,478,66,1
483,45,23,30,23,39,12,6.0,71.0,194,94,1
484,100,25,30,28,31,14,53.0,99.0,540,74,1
485,68,36,36,26,33,25,45.0,91.0,406,71,1
486,96,36,40,19,36,25,5.0,25.0,588,21,0
487,74,29,23,38,32,25,62.0,63.0,302,95,1
488,61,20,17,30,40,24,29.0,49.0,743,47,0
489,70,33,22,27,15,25,88.0,93.0,780,52,1
490,30,48,23,13,19,11,0.0,23.0,597,24,0
491,24,42,30,32,32,30,66.0,49.0,664,29,0
492,53,41,22,21,18,34,77.0,11.0,705,6,0
493,43,35,29,25,32,39,41.0,30.0,645,44,0
494,100,47,34,38,40,24,97.0,21.0,575,48,0
495,75,26,34,31,12,11,78.0,68.0,455,80,1
