,스킬이름,타입,위력,포켓몬
244,날개쉬기,비행,0,구구
245,순풍,비행,0,구구
246,제비반환,비행,60,구구
247,에어슬래시,비행,75,구구
248,폭풍,비행,110,구구
249,몸통박치기,노말,40,피죤
250,모래뿌리기,땅,0,피죤
251,바람일으키기,비행,40,피죤
252,모래뿌리기,땅,0,피죤
253,바람일으키기,비행,40,피죤
254,전광석화,노말,40,피죤
255,날려버리기,노말,0,피죤
256,회오리,드래곤,40,피죤
257,깃털댄스,비행,0,피죤
258,고속이동,에스퍼,0,피죤
259,날개치기,비행,60,피죤
260,날개쉬기,비행,0,피죤
261,순풍,비행,0,피죤
262,제비반환,비행,60,피죤
263,에어슬래시,비행,75,피죤
264,폭풍,비행,110,피죤
265,폭풍,비행,110,피죤투
266,몸통박치기,노말,40,피죤투
267,모래뿌리기,땅,0,피죤투
268,바람일으키기,비행,40,피죤투
269,전광석화,노말,40,피죤투
270,모래뿌리기,땅,0,피죤투
271,바람일으키기,비행,40,피죤투
272,전광석화,노말,40,피죤투
273,날려버리기,노말,0,피죤투
274,회오리,드래곤,40,피죤투
275,깃털댄스,비행,0,피죤투
276,고속이동,에스퍼,0,피죤투
277,날개치기,비행,60,피죤투
278,날개쉬기,비행,0,피죤투
279,순풍,비행,0,피죤투
280,제비반환,비행,60,피죤투
281,에어슬래시,비행,75,피죤투
282,폭풍,비행,110,피죤투
283,몸통박치기,노말,40,꼬렛
284,꼬리흔들기,노말,0,꼬렛
285,전광석화,노말,40,꼬렛
286,기충전,노말,0,꼬렛
287,물기,악,60,꼬렛
288,예민해지기,노말,0,꼬렛
289,필살앞니,노말,80,꼬렛
290,승부굳히기,악,60,꼬렛
291,깨물어부수기,악,80,꼬렛
292,기습,악,70,꼬렛
293,분노의앞니,노말,0,꼬렛
294,이판사판태클,노말,120,꼬렛
295,죽기살기,노말,0,꼬렛
296,겁나는얼굴,노말,0,레트라
297,칼춤,노말,0,레트라
298,몸통박치기,노말,40,레트라
299,꼬리흔들기,노말,0,레트라
300,전광석화,노말,40,레트라
301,기충전,노말,0,레트라
302,겁나는얼굴,노말,0,레트라
303,전광석화,노말,40,레트라
304,기충전,노말,0,레트라
305,물기,악,60,레트라
306,예민해지기,노말,0,레트라
307,돌진,노말,90,레트라
308,승부굳히기,악,60,레트라
309,깨물어부수기,악,80,레트라
310,기습,악,70,레트라
311,분노의앞니,노말,0,레트라
312,이판사판태클,노말,120,레트라
313,죽기살기,노말,0,레트라
314,쪼기,비행,35,깨비참
315,울음소리,노말,0,깨비참
316,째려보기,노말,0,깨비참
317,승부굳히기,악,60,깨비참
318,마구찌르기,노말,15,깨비참
319,제비반환,비행,60,깨비참
320,날개치기,비행,60,깨비참
321,돌진,노말,90,깨비참
322,고속이동,에스퍼,0,깨비참
323,기충전,노말,0,깨비참
324,날개쉬기,비행,0,깨비참
325,회전부리,비행,80,깨비참
326,드릴라이너,땅,80,깨비드릴조
327,쪼아대기,비행,60,깨비드릴조
328,쪼기,비행,35,깨비드릴조
329,울음소리,노말,0,깨비드릴조
330,째려보기,노말,0,깨비드릴조
331,째려보기,노말,0,깨비드릴조
332,승부굳히기,악,60,깨비드릴조
333,마구찌르기,노말,15,깨비드릴조
334,제비반환,비행,60,깨비드릴조
335,날개치기,비행,60,깨비드릴조
336,돌진,노말,90,깨비드릴조
337,고속이동,에스퍼,0,깨비드릴조
338,기충전,노말,0,깨비드릴조
339,날개쉬기,비행,0,깨비드릴조
340,회전부리,비행,80,깨비드릴조
341,드릴라이너,땅,80,깨비드릴조
342,김밥말이,노말,15,아보
343,째려보기,노말,0,아보
344,독침,독,15,아보
345,물기,악,60,아보
346,뱀눈초리,노말,0,아보
347,싫은소리,노말,0,아보
348,용해액,독,40,아보
349,비축하기,노말,0,아보
350,꿀꺽,노말,0,아보
351,토해내기,노말,0,아보
352,애시드봄,독,40,아보
353,오물폭탄,독,90,아보
354,위액,독,0,아보
355,트림,독,120,아보
356,흑안개,얼음,0,아보
357,똬리틀기,독,0,아보
358,더스트슈트,독,120,아보
359,깨물어부수기,악,80,아보크
360,김밥말이,노말,15,아보크
361,독침,독,15,아보크
362,째려보기,노말,0,아보크
363,물기,악,60,아보크
364,불꽃엄니,불꽃,65,아보크
365,얼음엄니,얼음,65,아보크
366,번개엄니,전기,65,아보크
367,깨물어부수기,악,80,아보크
368,뱀눈초리,노말,0,아보크
369,싫은소리,노말,0,아보크
370,용해액,독,40,아보크
371,비축하기,노말,0,아보크
372,꿀꺽,노말,0,아보크
373,토해내기,노말,0,아보크
374,애시드봄,독,40,아보크
375,오물폭탄,독,90,아보크
376,위액,독,0,아보크
377,트림,독,120,아보크
378,흑안개,얼음,0,아보크
379,똬리틀기,독,0,아보크
380,더스트슈트,독,120,아보크
381,친해지기,노말,0,피카츄
382,친해져서,싸울,잃게,피카츄
383,천사의키스,페어리,0,피카츄
384,볼부비부비,전기,20,피카츄
385,흐르는,볼을,공격한다.,피카츄
386,나쁜음모,악,0,피카츄
387,일을,생각해서,활성화시킨다.,피카츄
388,애교부리기,페어리,0,피카츄
389,바라보고,방심을,상대의,피카츄
390,전기쇼크,전기,40,피카츄
391,자극을,상대에게,공격한다.,피카츄
392,꼬리흔들기,노말,0,피카츄
393,좌우로,귀엽게,방심을,피카츄
394,울음소리,노말,0,피카츄
395,울음소리를,들려주고,끌어,피카츄
396,전광석화,노말,40,피카츄
397,보이지,않는,속도로,피카츄
398,전기자석파,전기,0,피카츄
399,전격을,날려서,마비,피카츄
400,그림자분신,노말,0,피카츄
401,움직임으로,분신을,상대를,피카츄
402,일렉트릭볼,전기,0,피카츄
403,덩어리를,상대에게,공격한다.,피카츄
404,페인트,노말,30,피카츄
405,판별,등을,있는,피카츄
406,스파크,전기,65,피카츄
407,둘러,상대에게,공격한다.,피카츄
408,고속이동,에스퍼,0,피카츄
409,빼고,몸을,해서,피카츄
410,아이언테일,강철,100,피카츄
411,꼬리로,상대를,쳐서,피카츄
412,방전,전기,80,피카츄
413,전격으로,자신의,있는,피카츄
414,10만볼트,전기,90,피카츄
415,전격을,상대에게,공격한다.,피카츄
416,빛의장막,에스퍼,0,피카츄
417,동안,이상한,쳐서,피카츄
418,번개,전기,110,피카츄
419,번개를,상대에게,공격한다.,피카츄
420,친해지기,노말,0,라이츄
421,친해져서,싸울,잃게,라이츄
422,천사의키스,페어리,0,라이츄
423,볼부비부비,전기,20,라이츄
424,흐르는,볼을,공격한다.,라이츄
425,나쁜음모,악,0,라이츄
426,일을,생각해서,활성화시킨다.,라이츄
427,애교부리기,페어리,0,라이츄
428,바라보고,방심을,상대의,라이츄
429,전기자석파,전기,0,라이츄
430,전격을,날려서,마비,라이츄
431,그림자분신,노말,0,라이츄
432,움직임으로,분신을,상대를,라이츄
433,일렉트릭볼,전기,0,라이츄
434,덩어리를,상대에게,공격한다.,라이츄
435,페인트,노말,30,라이츄
436,판별,등을,있는,라이츄
437,스파크,전기,65,라이츄
438,둘러,상대에게,공격한다.,라이츄
439,고속이동,에스퍼,0,라이츄
440,빼고,몸을,해서,라이츄
441,아이언테일,강철,100,라이츄
442,꼬리로,상대를,쳐서,라이츄
443,방전,전기,80,라이츄
444,전격으로,자신의,있는,라이츄
445,빛의장막,에스퍼,0,라이츄
446,동안,이상한,쳐서,라이츄
447,번개,전기,110,라이츄
448,번개를,상대에게,공격한다.,라이츄
449,전기쇼크,전기,40,라이츄
450,자극을,상대에게,공격한다.,라이츄
451,꼬리흔들기,노말,0,라이츄
452,좌우로,귀엽게,방심을,라이츄
453,울음소리,노말,0,라이츄
454,울음소리를,들려주고,끌어,라이츄
455,전광석화,노말,40,라이츄
456,보이지,않는,속도로,라이츄
457,번개펀치,전기,75,라이츄
458,담은,펀치로,공격한다.,라이츄
459,10만볼트,전기,90,라이츄
460,전격을,상대에게,공격한다.,라이츄
461,할퀴기,노말,40,모래두지
462,웅크리기,노말,0,모래두지
463,독침,독,15,모래두지
464,모래뿌리기,땅,0,모래두지
465,구르기,바위,30,모래두지
466,연속자르기,벌레,40,모래두지
467,고속스핀,노말,50,모래두지
468,땅고르기,땅,60,모래두지
469,스피드스타,노말,60,모래두지
470,마구할퀴기,노말,18,모래두지
471,고속이동,에스퍼,0,모래두지
472,베어가르기,노말,70,모래두지
473,구멍파기,땅,80,모래두지
474,자이로볼,강철,0,모래두지
475,칼춤,노말,0,모래두지
476,모래바람,바위,0,모래두지
477,지진,땅,100,모래두지
478,브레이크클로,노말,75,고지
479,할퀴기,노말,40,고지
480,웅크리기,노말,0,고지
481,독침,독,15,고지
482,모래뿌리기,땅,0,고지
483,구르기,바위,30,고지
484,연속자르기,벌레,40,고지
485,고속스핀,노말,50,고지
486,땅고르기,땅,60,고지
487,스피드스타,노말,60,고지
488,마구할퀴기,노말,18,고지
489,모래지옥,땅,35,고지
490,베어가르기,노말,70,고지
491,구멍파기,땅,80,고지
492,자이로볼,강철,0,고지
493,칼춤,노말,0,고지
494,모래바람,바위,0,고지
495,지진,땅,100,고지
496,울음소리,노말,0,니드런♀
497,독침,독,15,니드런♀
498,할퀴기,노말,40,니드런♀
499,꼬리흔들기,노말,0,니드런♀
500,마구할퀴기,노말,18,니드런♀
501,독압정,독,0,니드런♀
502,두번치기,격투,30,니드런♀
503,물기,악,60,니드런♀
504,도우미,노말,0,니드런♀
505,맹독,독,0,니드런♀
506,부추기기,악,0,니드런♀
507,깨물어부수기,악,80,니드런♀
508,대지의힘,땅,90,니드런♀
509,울음소리,노말,0,니드리나
510,독침,독,15,니드리나
511,할퀴기,노말,40,니드리나
512,꼬리흔들기,노말,0,니드리나
513,마구할퀴기,노말,18,니드리나
514,독압정,독,0,니드리나
515,두번치기,격투,30,니드리나
516,물기,악,60,니드리나
517,도우미,노말,0,니드리나
518,맹독,독,0,니드리나
519,부추기기,악,0,니드리나
520,깨물어부수기,악,80,니드리나
521,대지의힘,땅,90,니드리나
522,엄청난힘,격투,120,니드퀸
523,마구할퀴기,노말,18,니드퀸
524,독압정,독,0,니드퀸
525,두번치기,격투,30,니드퀸
526,물기,악,60,니드퀸
527,도우미,노말,0,니드퀸
528,맹독,독,0,니드퀸
529,부추기기,악,0,니드퀸
530,깨물어부수기,악,80,니드퀸
531,대지의힘,땅,90,니드퀸
532,울음소리,노말,0,니드퀸
533,독침,독,15,니드퀸
534,할퀴기,노말,40,니드퀸
535,꼬리흔들기,노말,0,니드퀸
536,엄청난힘,격투,120,니드퀸
537,째려보기,노말,0,니드런♂
538,독침,독,15,니드런♂
539,쪼기,비행,35,니드런♂
540,기충전,노말,0,니드런♂
541,마구찌르기,노말,15,니드런♂
542,독압정,독,0,니드런♂
543,두번치기,격투,30,니드런♂
544,뿔찌르기,노말,65,니드런♂
545,도우미,노말,0,니드런♂
546,맹독,독,0,니드런♂
547,부추기기,악,0,니드런♂
548,독찌르기,독,80,니드런♂
549,대지의힘,땅,90,니드런♂
550,째려보기,노말,0,니드리노
551,독침,독,15,니드리노
552,쪼기,비행,35,니드리노
553,기충전,노말,0,니드리노
554,마구찌르기,노말,15,니드리노
555,독압정,독,0,니드리노
556,두번치기,격투,30,니드리노
557,뿔찌르기,노말,65,니드리노
558,도우미,노말,0,니드리노
559,맹독,독,0,니드리노
560,부추기기,악,0,니드리노
561,독찌르기,독,80,니드리노
562,대지의힘,땅,90,니드리노
563,메가폰,벌레,120,니드킹
564,마구찌르기,노말,15,니드킹
565,독압정,독,0,니드킹
566,두번치기,격투,30,니드킹
567,뿔찌르기,노말,65,니드킹
568,도우미,노말,0,니드킹
569,맹독,독,0,니드킹
570,부추기기,악,0,니드킹
571,독찌르기,독,80,니드킹
572,대지의힘,땅,90,니드킹
573,째려보기,노말,0,니드킹
574,독침,독,15,니드킹
575,쪼기,비행,35,니드킹
576,기충전,노말,0,니드킹
577,메가폰,벌레,120,니드킹
578,노래하기,노말,0,삐삐
579,천사의키스,페어리,0,삐삐
580,차밍보이스,페어리,40,삐삐
581,애교부리기,페어리,0,삐삐
582,튀어오르기,노말,0,삐삐
583,막치기,노말,40,삐삐
584,흉내쟁이,노말,0,삐삐
585,울음소리,노말,0,삐삐
586,웅크리기,노말,0,삐삐
587,어시스트파워,에스퍼,20,삐삐
588,앙코르,노말,0,삐삐
589,당신먼저,노말,0,삐삐
590,생명의물방울,물,0,삐삐
591,손가락흔들기,노말,0,삐삐
592,달빛,페어리,0,삐삐
593,중력,에스퍼,0,삐삐
594,코멧펀치,강철,90,삐삐
595,날따름,노말,0,삐삐
596,코스믹파워,에스퍼,0,삐삐
597,문포스,페어리,95,삐삐
598,치유소원,에스퍼,0,삐삐
599,손가락흔들기,노말,0,픽시
600,코멧펀치,강철,90,픽시
601,문포스,페어리,95,픽시
602,생명의물방울,물,0,픽시
603,막치기,노말,40,픽시
604,울음소리,노말,0,픽시
605,노래하기,노말,0,픽시
606,웅크리기,노말,0,픽시
607,튀어오르기,노말,0,픽시
608,천사의키스,페어리,0,픽시
609,애교부리기,페어리,0,픽시
610,앙코르,노말,0,픽시
611,달빛,페어리,0,픽시
612,날따름,노말,0,픽시
613,코스믹파워,에스퍼,0,픽시
614,중력,에스퍼,0,픽시
615,치유소원,에스퍼,0,픽시
616,흉내쟁이,노말,0,픽시
617,당신먼저,노말,0,픽시
618,어시스트파워,에스퍼,20,픽시
619,차밍보이스,페어리,40,픽시
620,불꽃세례,불꽃,40,식스테일
621,꼬리흔들기,노말,0,식스테일
622,사슬묶기,노말,0,식스테일
623,전광석화,노말,40,식스테일
624,원한,고스트,0,식스테일
625,불태우기,불꽃,60,식스테일
626,이상한빛,고스트,0,식스테일
627,도깨비불,불꽃,0,식스테일
628,신통력,에스퍼,80,식스테일
629,화염방사,불꽃,90,식스테일
630,봉인,에스퍼,0,식스테일
631,회오리불꽃,불꽃,35,식스테일
632,신비의부적,노말,0,식스테일
633,연옥,불꽃,100,식스테일
634,불대문자,불꽃,110,식스테일
635,화염방사,불꽃,90,나인테일
636,꼬리흔들기,노말,0,나인테일
637,전광석화,노말,40,나인테일
638,사슬묶기,노말,0,나인테일
639,불꽃세례,불꽃,40,나인테일
640,회오리불꽃,불꽃,35,나인테일
641,이상한빛,고스트,0,나인테일
642,불대문자,불꽃,110,나인테일
643,원한,고스트,0,나인테일
644,신비의부적,노말,0,나인테일
645,도깨비불,불꽃,0,나인테일
646,봉인,에스퍼,0,나인테일
647,신통력,에스퍼,80,나인테일
648,나쁜음모,악,0,나인테일
649,불태우기,불꽃,60,나인테일
650,연옥,불꽃,100,나인테일
651,천사의키스,페어리,0,푸린
652,차밍보이스,페어리,40,푸린
653,울음소리를,내어,정신적,푸린
654,사슬묶기,노말,0,푸린
655,움직임을,막아,전에,푸린
656,애교부리기,페어리,0,푸린
657,바라보고,방심을,상대의,푸린
658,노래하기,노말,0,푸린
659,좋은,예쁜,들려주고,푸린
660,막치기,노말,40,푸린
661,꼬리나,손,사용하여,푸린
662,흉내쟁이,노말,0,푸린
663,나온,기술을,내어,푸린
664,웅크리기,노말,0,푸린
665,둥글게,웅크려서,방어를,푸린
666,에코보이스,노말,40,푸린
667,목소리로,상대를,매,푸린
668,탐내기,노말,60,푸린
669,애교,부리며,다가가,푸린
670,비축하기,노말,0,푸린
671,비축해서,자신의,특수방어를,푸린
672,토해내기,노말,0,푸린
673,힘을,상대에게,공격한다.,푸린
674,꿀꺽,노말,0,푸린
675,힘을,꿀꺽해서,HP를,푸린
676,돌림노래,노말,60,푸린
677,상대를,공격한다.,돌림노래를,푸린
678,잠자기,에스퍼,0,푸린
679,동안,계속,자신의,푸린
680,누르기,노말,85,푸린
681,전체로,상대를,공격한다.,푸린
682,흉내내기,노말,0,푸린
683,마지막에,사용한,배틀을,푸린
684,자이로볼,강철,0,푸린
685,고속으로,회전시켜,상대보다,푸린
686,하이퍼보이스,노말,90,푸린
687,울리는,큰,상대에게,푸린
688,이판사판태클,노말,120,푸린
689,걸고,상대에게,공격을,푸린
690,천사의키스,페어리,0,푸크린
691,차밍보이스,페어리,40,푸크린
692,울음소리를,내어,정신적,푸크린
693,사슬묶기,노말,0,푸크린
694,움직임을,막아,전에,푸크린
695,애교부리기,페어리,0,푸크린
696,바라보고,방심을,상대의,푸크린
697,에코보이스,노말,40,푸크린
698,목소리로,상대를,매,푸크린
699,탐내기,노말,60,푸크린
700,애교,부리며,다가가,푸크린
701,비축하기,노말,0,푸크린
702,비축해서,자신의,특수방어를,푸크린
703,꿀꺽,노말,0,푸크린
704,힘을,꿀꺽해서,HP를,푸크린
705,토해내기,노말,0,푸크린
706,힘을,상대에게,공격한다.,푸크린
707,돌림노래,노말,60,푸크린
708,상대를,공격한다.,돌림노래를,푸크린
709,잠자기,에스퍼,0,푸크린
710,동안,계속,자신의,푸크린
711,누르기,노말,85,푸크린
712,전체로,상대를,공격한다.,푸크린
713,흉내내기,노말,0,푸크린
714,마지막에,사용한,배틀을,푸크린
715,자이로볼,강철,0,푸크린
716,고속으로,회전시켜,상대보다,푸크린
717,하이퍼보이스,노말,90,푸크린
718,울리는,큰,상대에게,푸크린
719,이판사판태클,노말,120,푸크린
720,걸고,상대에게,공격을,푸크린
721,노래하기,노말,0,푸크린
722,좋은,예쁜,들려주고,푸크린
723,막치기,노말,40,푸크린
724,꼬리나,손,사용하여,푸크린
725,흉내쟁이,노말,0,푸크린
726,나온,기술을,내어,푸크린
727,웅크리기,노말,0,푸크린
728,둥글게,웅크려서,방어를,푸크린
729,치근거리기,페어리,90,푸크린
730,치근거리며,공격한다.,공격을,푸크린
731,흡수,풀,20,주뱃
732,초음파,노말,0,주뱃
733,놀래키기,고스트,30,주뱃
734,검은눈빛,노말,0,주뱃
735,독엄니,독,50,주뱃
736,퍼스트가드,격투,0,주뱃
737,에어컷터,비행,60,주뱃
738,물기,악,60,주뱃
739,흑안개,얼음,0,주뱃
740,베놈쇼크,독,65,주뱃
741,이상한빛,고스트,0,주뱃
742,에어슬래시,비행,75,주뱃
743,흡혈,벌레,80,주뱃
744,싫은소리,노말,0,골뱃
745,흡수,풀,20,골뱃
746,초음파,노말,0,골뱃
747,놀래키기,고스트,30,골뱃
748,검은눈빛,노말,0,골뱃
749,독엄니,독,50,골뱃
750,퍼스트가드,격투,0,골뱃
751,에어컷터,비행,60,골뱃
752,물기,악,60,골뱃
753,흑안개,얼음,0,골뱃
754,베놈쇼크,독,65,골뱃
755,이상한빛,고스트,0,골뱃
756,에어슬래시,비행,75,골뱃
757,흡혈,벌레,80,골뱃
758,흡수,풀,20,뚜벅쵸
759,성장,노말,0,뚜벅쵸
760,용해액,독,40,뚜벅쵸
