,스킬이름,타입,위력,포켓몬
257,마구찌르기,노말,15,깨비참
258,제비반환,비행,60,깨비참
259,날개치기,비행,60,깨비참
260,돌진,노말,90,깨비참
261,고속이동,에스퍼,0,깨비참
262,기충전,노말,0,깨비참
263,날개쉬기,비행,0,깨비참
264,회전부리,비행,80,깨비참
265,드릴라이너,땅,80,깨비드릴조
266,쪼아대기,비행,60,깨비드릴조
267,쪼기,비행,35,깨비드릴조
268,울음소리,노말,0,깨비드릴조
269,째려보기,노말,0,깨비드릴조
270,째려보기,노말,0,깨비드릴조
271,승부굳히기,악,60,깨비드릴조
272,마구찌르기,노말,15,깨비드릴조
273,제비반환,비행,60,깨비드릴조
274,날개치기,비행,60,깨비드릴조
275,돌진,노말,90,깨비드릴조
276,고속이동,에스퍼,0,깨비드릴조
277,기충전,노말,0,깨비드릴조
278,날개쉬기,비행,0,깨비드릴조
279,회전부리,비행,80,깨비드릴조
280,드릴라이너,땅,80,깨비드릴조
281,김밥말이,노말,15,아보
282,째려보기,노말,0,아보
283,독침,독,15,아보
284,물기,악,60,아보
285,뱀눈초리,노말,0,아보
286,싫은소리,노말,0,아보
287,용해액,독,40,아보
288,비축하기,노말,0,아보
289,꿀꺽,노말,0,아보
290,토해내기,노말,0,아보
291,애시드봄,독,40,아보
292,오물폭탄,독,90,아보
293,위액,독,0,아보
294,트림,독,120,아보
295,흑안개,얼음,0,아보
296,똬리틀기,독,0,아보
297,더스트슈트,독,120,아보
298,깨물어부수기,악,80,아보크
299,김밥말이,노말,15,아보크
300,독침,독,15,아보크
301,째려보기,노말,0,아보크
302,물기,악,60,아보크
303,불꽃엄니,불꽃,65,아보크
304,얼음엄니,얼음,65,아보크
305,번개엄니,전기,65,아보크
306,깨물어부수기,악,80,아보크
307,뱀눈초리,노말,0,아보크
308,싫은소리,노말,0,아보크
309,용해액,독,40,아보크
310,비축하기,노말,0,아보크
311,꿀꺽,노말,0,아보크
312,토해내기,노말,0,아보크
313,애시드봄,독,40,아보크
314,오물폭탄,독,90,아보크
315,위액,독,0,아보크
316,트림,독,120,아보크
317,흑안개,얼음,0,아보크
318,똬리틀기,독,0,아보크
319,더스트슈트,독,120,아보크
320,친해지기,노말,0,피카츄
321,천사의키스,페어리,0,피카츄
322,볼부비부비,전기,20,피카츄
323,나쁜음모,악,0,피카츄
324,애교부리기,페어리,0,피카츄
325,전기쇼크,전기,40,피카츄
326,꼬리흔들기,노말,0,피카츄
327,울음소리,노말,0,피카츄
328,전광석화,노말,40,피카츄
329,전기자석파,전기,0,피카츄
330,그림자분신,노말,0,피카츄
331,일렉트릭볼,전기,0,피카츄
332,페인트,노말,30,피카츄
333,스파크,전기,65,피카츄
334,고속이동,에스퍼,0,피카츄
335,아이언테일,강철,100,피카츄
336,방전,전기,80,피카츄
337,10만볼트,전기,90,피카츄
338,빛의장막,에스퍼,0,피카츄
339,번개,전기,110,피카츄
340,친해지기,노말,0,라이츄
341,천사의키스,페어리,0,라이츄
342,볼부비부비,전기,20,라이츄
343,나쁜음모,악,0,라이츄
344,애교부리기,페어리,0,라이츄
345,전기자석파,전기,0,라이츄
346,그림자분신,노말,0,라이츄
347,일렉트릭볼,전기,0,라이츄
348,페인트,노말,30,라이츄
349,스파크,전기,65,라이츄
350,고속이동,에스퍼,0,라이츄
351,아이언테일,강철,100,라이츄
352,방전,전기,80,라이츄
353,빛의장막,에스퍼,0,라이츄
354,번개,전기,110,라이츄
355,전기쇼크,전기,40,라이츄
356,꼬리흔들기,노말,0,라이츄
357,울음소리,노말,0,라이츄
358,전광석화,노말,40,라이츄
359,번개펀치,전기,75,라이츄
360,10만볼트,전기,90,라이츄
361,할퀴기,노말,40,모래두지
362,웅크리기,노말,0,모래두지
363,독침,독,15,모래두지
364,모래뿌리기,땅,0,모래두지
365,구르기,바위,30,모래두지
366,연속자르기,벌레,40,모래두지
367,고속스핀,노말,50,모래두지
368,땅고르기,땅,60,모래두지
369,스피드스타,노말,60,모래두지
370,마구할퀴기,노말,18,모래두지
371,고속이동,에스퍼,0,모래두지
372,베어가르기,노말,70,모래두지
373,구멍파기,땅,80,모래두지
374,자이로볼,강철,0,모래두지
375,칼춤,노말,0,모래두지
376,모래바람,바위,0,모래두지
377,지진,땅,100,모래두지
378,브레이크클로,노말,75,고지
379,할퀴기,노말,40,고지
380,웅크리기,노말,0,고지
381,독침,독,15,고지
382,모래뿌리기,땅,0,고지
383,구르기,바위,30,고지
384,연속자르기,벌레,40,고지
385,고속스핀,노말,50,고지
386,땅고르기,땅,60,고지
387,스피드스타,노말,60,고지
388,마구할퀴기,노말,18,고지
389,모래지옥,땅,35,고지
390,베어가르기,노말,70,고지
391,구멍파기,땅,80,고지
392,자이로볼,강철,0,고지
393,칼춤,노말,0,고지
394,모래바람,바위,0,고지
395,지진,땅,100,고지
396,울음소리,노말,0,니드런♀
397,독침,독,15,니드런♀
398,할퀴기,노말,40,니드런♀
399,꼬리흔들기,노말,0,니드런♀
400,마구할퀴기,노말,18,니드런♀
401,독압정,독,0,니드런♀
402,두번치기,격투,30,니드런♀
403,물기,악,60,니드런♀
404,도우미,노말,0,니드런♀
405,맹독,독,0,니드런♀
406,부추기기,악,0,니드런♀
407,깨물어부수기,악,80,니드런♀
408,대지의힘,땅,90,니드런♀
409,울음소리,노말,0,니드리나
410,독침,독,15,니드리나
411,할퀴기,노말,40,니드리나
412,꼬리흔들기,노말,0,니드리나
413,마구할퀴기,노말,18,니드리나
414,독압정,독,0,니드리나
415,두번치기,격투,30,니드리나
416,물기,악,60,니드리나
417,도우미,노말,0,니드리나
418,맹독,독,0,니드리나
419,부추기기,악,0,니드리나
420,깨물어부수기,악,80,니드리나
421,대지의힘,땅,90,니드리나
422,엄청난힘,격투,120,니드퀸
423,마구할퀴기,노말,18,니드퀸
424,독압정,독,0,니드퀸
425,두번치기,격투,30,니드퀸
426,물기,악,60,니드퀸
427,도우미,노말,0,니드퀸
428,맹독,독,0,니드퀸
429,부추기기,악,0,니드퀸
430,깨물어부수기,악,80,니드퀸
431,대지의힘,땅,90,니드퀸
432,울음소리,노말,0,니드퀸
433,독침,독,15,니드퀸
434,할퀴기,노말,40,니드퀸
435,꼬리흔들기,노말,0,니드퀸
436,엄청난힘,격투,120,니드퀸
437,째려보기,노말,0,니드런♂
438,독침,독,15,니드런♂
439,쪼기,비행,35,니드런♂
440,기충전,노말,0,니드런♂
441,마구찌르기,노말,15,니드런♂
442,독압정,독,0,니드런♂
443,두번치기,격투,30,니드런♂
444,뿔찌르기,노말,65,니드런♂
445,도우미,노말,0,니드런♂
446,맹독,독,0,니드런♂
447,부추기기,악,0,니드런♂
448,독찌르기,독,80,니드런♂
449,대지의힘,땅,90,니드런♂
450,째려보기,노말,0,니드리노
451,독침,독,15,니드리노
452,쪼기,비행,35,니드리노
453,기충전,노말,0,니드리노
454,마구찌르기,노말,15,니드리노
455,독압정,독,0,니드리노
456,두번치기,격투,30,니드리노
457,뿔찌르기,노말,65,니드리노
458,도우미,노말,0,니드리노
459,맹독,독,0,니드리노
460,부추기기,악,0,니드리노
461,독찌르기,독,80,니드리노
462,대지의힘,땅,90,니드리노
463,메가폰,벌레,120,니드킹
464,마구찌르기,노말,15,니드킹
465,독압정,독,0,니드킹
466,두번치기,격투,30,니드킹
467,뿔찌르기,노말,65,니드킹
468,도우미,노말,0,니드킹
469,맹독,독,0,니드킹
470,부추기기,악,0,니드킹
471,독찌르기,독,80,니드킹
472,대지의힘,땅,90,니드킹
473,째려보기,노말,0,니드킹
474,독침,독,15,니드킹
475,쪼기,비행,35,니드킹
476,기충전,노말,0,니드킹
477,메가폰,벌레,120,니드킹
478,노래하기,노말,0,삐삐
479,천사의키스,페어리,0,삐삐
480,차밍보이스,페어리,40,삐삐
481,애교부리기,페어리,0,삐삐
482,튀어오르기,노말,0,삐삐
483,막치기,노말,40,삐삐
484,흉내쟁이,노말,0,삐삐
485,울음소리,노말,0,삐삐
486,웅크리기,노말,0,삐삐
487,어시스트파워,에스퍼,20,삐삐
488,앙코르,노말,0,삐삐
489,당신먼저,노말,0,삐삐
490,생명의물방울,물,0,삐삐
491,손가락흔들기,노말,0,삐삐
492,달빛,페어리,0,삐삐
493,중력,에스퍼,0,삐삐
494,코멧펀치,강철,90,삐삐
495,날따름,노말,0,삐삐
496,코스믹파워,에스퍼,0,삐삐
497,문포스,페어리,95,삐삐
498,치유소원,에스퍼,0,삐삐
499,손가락흔들기,노말,0,픽시
500,코멧펀치,강철,90,픽시
501,문포스,페어리,95,픽시
502,생명의물방울,물,0,픽시
503,막치기,노말,40,픽시
504,울음소리,노말,0,픽시
505,노래하기,노말,0,픽시
506,웅크리기,노말,0,픽시
507,튀어오르기,노말,0,픽시
508,천사의키스,페어리,0,픽시
509,애교부리기,페어리,0,픽시
510,앙코르,노말,0,픽시
511,달빛,페어리,0,픽시
512,날따름,노말,0,픽시
513,코스믹파워,에스퍼,0,픽시
514,중력,에스퍼,0,픽시
515,치유소원,에스퍼,0,픽시
516,흉내쟁이,노말,0,픽시
517,당신먼저,노말,0,픽시
518,어시스트파워,에스퍼,20,픽시
519,차밍보이스,페어리,40,픽시
520,불꽃세례,불꽃,40,식스테일
521,꼬리흔들기,노말,0,식스테일
522,사슬묶기,노말,0,식스테일
523,전광석화,노말,40,식스테일
524,원한,고스트,0,식스테일
525,불태우기,불꽃,60,식스테일
526,이상한빛,고스트,0,식스테일
527,도깨비불,불꽃,0,식스테일
528,신통력,에스퍼,80,식스테일
529,화염방사,불꽃,90,식스테일
530,봉인,에스퍼,0,식스테일
531,회오리불꽃,불꽃,35,식스테일
532,신비의부적,노말,0,식스테일
533,연옥,불꽃,100,식스테일
534,불대문자,불꽃,110,식스테일
535,화염방사,불꽃,90,나인테일
536,꼬리흔들기,노말,0,나인테일
537,전광석화,노말,40,나인테일
538,사슬묶기,노말,0,나인테일
539,불꽃세례,불꽃,40,나인테일
540,회오리불꽃,불꽃,35,나인테일
541,이상한빛,고스트,0,나인테일
542,불대문자,불꽃,110,나인테일
543,원한,고스트,0,나인테일
544,신비의부적,노말,0,나인테일
545,도깨비불,불꽃,0,나인테일
546,봉인,에스퍼,0,나인테일
547,신통력,에스퍼,80,나인테일
548,나쁜음모,악,0,나인테일
549,불태우기,불꽃,60,나인테일
550,연옥,불꽃,100,나인테일
551,천사의키스,페어리,0,푸린
552,차밍보이스,페어리,40,푸린
553,사슬묶기,노말,0,푸린
554,애교부리기,페어리,0,푸린
555,노래하기,노말,0,푸린
556,막치기,노말,40,푸린
557,흉내쟁이,노말,0,푸린
558,웅크리기,노말,0,푸린
559,에코보이스,노말,40,푸린
560,탐내기,노말,60,푸린
561,비축하기,노말,0,푸린
562,토해내기,노말,0,푸린
563,꿀꺽,노말,0,푸린
564,돌림노래,노말,60,푸린
565,잠자기,에스퍼,0,푸린
566,누르기,노말,85,푸린
567,흉내내기,노말,0,푸린
568,자이로볼,강철,0,푸린
569,하이퍼보이스,노말,90,푸린
570,이판사판태클,노말,120,푸린
571,천사의키스,페어리,0,푸크린
572,차밍보이스,페어리,40,푸크린
573,사슬묶기,노말,0,푸크린
574,애교부리기,페어리,0,푸크린
575,에코보이스,노말,40,푸크린
576,탐내기,노말,60,푸크린
577,비축하기,노말,0,푸크린
578,꿀꺽,노말,0,푸크린
579,토해내기,노말,0,푸크린
580,돌림노래,노말,60,푸크린
581,잠자기,에스퍼,0,푸크린
582,누르기,노말,85,푸크린
583,흉내내기,노말,0,푸크린
584,자이로볼,강철,0,푸크린
585,하이퍼보이스,노말,90,푸크린
586,이판사판태클,노말,120,푸크린
587,노래하기,노말,0,푸크린
588,막치기,노말,40,푸크린
589,흉내쟁이,노말,0,푸크린
590,웅크리기,노말,0,푸크린
591,치근거리기,페어리,90,푸크린
592,흡수,풀,20,주뱃
593,초음파,노말,0,주뱃
594,놀래키기,고스트,30,주뱃
595,검은눈빛,노말,0,주뱃
596,독엄니,독,50,주뱃
597,퍼스트가드,격투,0,주뱃
598,에어컷터,비행,60,주뱃
599,물기,악,60,주뱃
600,흑안개,얼음,0,주뱃
601,베놈쇼크,독,65,주뱃
602,이상한빛,고스트,0,주뱃
603,에어슬래시,비행,75,주뱃
604,흡혈,벌레,80,주뱃
605,싫은소리,노말,0,골뱃
606,흡수,풀,20,골뱃
607,초음파,노말,0,골뱃
608,놀래키기,고스트,30,골뱃
609,검은눈빛,노말,0,골뱃
610,독엄니,독,50,골뱃
611,퍼스트가드,격투,0,골뱃
612,에어컷터,비행,60,골뱃
613,물기,악,60,골뱃
614,흑안개,얼음,0,골뱃
615,베놈쇼크,독,65,골뱃
616,이상한빛,고스트,0,골뱃
617,에어슬래시,비행,75,골뱃
618,흡혈,벌레,80,골뱃
619,흡수,풀,20,뚜벅쵸
620,성장,노말,0,뚜벅쵸
621,용해액,독,40,뚜벅쵸
622,달콤한향기,노말,0,뚜벅쵸
623,메가드레인,풀,40,뚜벅쵸
624,독가루,독,0,뚜벅쵸
625,저리가루,풀,0,뚜벅쵸
626,수면가루,풀,0,뚜벅쵸
627,기가드레인,풀,75,뚜벅쵸
628,맹독,독,0,뚜벅쵸
629,문포스,페어리,95,뚜벅쵸
630,그래스필드,풀,0,뚜벅쵸
631,달빛,페어리,0,뚜벅쵸
632,꽃잎댄스,풀,120,뚜벅쵸
633,흡수,풀,20,냄새꼬
634,성장,노말,0,냄새꼬
635,용해액,독,40,냄새꼬
636,달콤한향기,노말,0,냄새꼬
637,메가드레인,풀,40,냄새꼬
638,독가루,독,0,냄새꼬
639,저리가루,풀,0,냄새꼬
640,수면가루,풀,0,냄새꼬
641,기가드레인,풀,75,냄새꼬
642,맹독,독,0,냄새꼬
643,문포스,페어리,95,냄새꼬
644,그래스필드,풀,0,냄새꼬
645,달빛,페어리,0,냄새꼬
646,꽃잎댄스,풀,120,냄새꼬
647,메가드레인,풀,40,라플레시아
648,독가루,독,0,라플레시아
649,저리가루,풀,0,라플레시아
650,수면가루,풀,0,라플레시아
651,기가드레인,풀,75,라플레시아
652,맹독,독,0,라플레시아
653,문포스,페어리,95,라플레시아
654,그래스필드,풀,0,라플레시아
655,달빛,페어리,0,라플레시아
656,꽃잎댄스,풀,120,라플레시아
657,흡수,풀,20,라플레시아
658,성장,노말,0,라플레시아
659,용해액,독,40,라플레시아
660,달콤한향기,노말,0,라플레시아
661,꽃보라,풀,90,라플레시아
662,할퀴기,노말,40,파라스
663,저리가루,풀,0,파라스
664,독가루,독,0,파라스
665,흡수,풀,20,파라스
666,연속자르기,벌레,40,파라스
667,버섯포자,풀,0,파라스
668,베어가르기,노말,70,파라스
669,성장,노말,0,파라스
670,기가드레인,풀,75,파라스
671,아로마테라피,풀,0,파라스
672,분노가루,벌레,0,파라스
673,시저크로스,벌레,80,파라스
674,크로스포이즌,독,70,파라섹트
675,할퀴기,노말,40,파라섹트
676,저리가루,풀,0,파라섹트
677,독가루,독,0,파라섹트
678,흡수,풀,20,파라섹트
679,저리가루,풀,0,파라섹트
680,독가루,독,0,파라섹트
681,흡수,풀,20,파라섹트
682,연속자르기,벌레,40,파라섹트
683,버섯포자,풀,0,파라섹트
684,베어가르기,노말,70,파라섹트
685,성장,노말,0,파라섹트
686,기가드레인,풀,75,파라섹트
687,아로마테라피,풀,0,파라섹트
688,분노가루,벌레,0,파라섹트
689,시저크로스,벌레,80,파라섹트
690,몸통박치기,노말,40,콘팡
691,사슬묶기,노말,0,콘팡
692,초음파,노말,0,콘팡
693,염동력,에스퍼,50,콘팡
694,독가루,독,0,콘팡
695,환상빔,에스퍼,65,콘팡
696,저리가루,풀,0,콘팡
697,벌레의야단법석,벌레,90,콘팡
698,수면가루,풀,0,콘팡
699,흡혈,벌레,80,콘팡
700,사념의박치기,에스퍼,80,콘팡
701,맹독엄니,독,50,콘팡
702,사이코키네시스,에스퍼,90,콘팡
703,몸통박치기,노말,40,도나리
704,사슬묶기,노말,0,도나리
705,초음파,노말,0,도나리
706,나비춤,벌레,0,도나리
707,에어슬래시,비행,75,도나리
708,염동력,에스퍼,50,도나리
709,독가루,독,0,도나리
710,환상빔,에스퍼,65,도나리
711,저리가루,풀,0,도나리
712,벌레의야단법석,벌레,90,도나리
713,수면가루,풀,0,도나리
714,흡혈,벌레,80,도나리
715,사념의박치기,에스퍼,80,도나리
716,맹독엄니,독,50,도나리
717,사이코키네시스,에스퍼,90,도나리
718,모래뿌리기,땅,0,디그다
719,할퀴기,노말,40,디그다
720,울음소리,노말,0,디그다
721,놀래키기,고스트,30,디그다
722,진흙뿌리기,땅,20,디그다
723,땅고르기,땅,60,디그다
724,기습,악,70,디그다
725,베어가르기,노말,70,디그다
726,모래바람,바위,0,디그다
727,구멍파기,땅,80,디그다
728,대지의힘,땅,90,디그다
729,지진,땅,100,디그다
730,땅가르기,땅,0,디그다
731,깜짝베기,악,70,닥트리오
732,트라이어택,노말,80,닥트리오
733,모래뿌리기,땅,0,닥트리오
734,할퀴기,노말,40,닥트리오
735,울음소리,노말,0,닥트리오
736,놀래키기,고스트,30,닥트리오
737,모래지옥,땅,35,닥트리오
738,진흙뿌리기,땅,20,닥트리오
739,땅고르기,땅,60,닥트리오
740,기습,악,70,닥트리오
741,베어가르기,노말,70,닥트리오
742,모래바람,바위,0,닥트리오
743,구멍파기,땅,80,닥트리오
744,대지의힘,땅,90,닥트리오
745,지진,땅,100,닥트리오
746,땅가르기,땅,0,닥트리오
747,속이기,노말,40,나옹
748,울음소리,노말,0,나옹
749,페인트,노말,30,나옹
750,할퀴기,노말,40,나옹
751,고양이돈받기,노말,40,나옹
752,물기,악,60,나옹
753,도발,악,0,나옹
754,승부굳히기,악,60,나옹
755,마구할퀴기,노말,18,나옹
756,싫은소리,노말,0,나옹
757,베어가르기,노말,70,나옹
758,나쁜음모,악,0,나옹
759,치근거리기,페어리,90,나옹
760,바꿔치기,악,0,페르시온
761,속이기,노말,40,페르시온
762,울음소리,노말,0,페르시온
763,페인트,노말,30,페르시온
764,할퀴기,노말,40,페르시온
765,파워젬,바위,80,페르시온
766,고양이돈받기,노말,40,페르시온
767,물기,악,60,페르시온
768,도발,악,0,페르시온
769,승부굳히기,악,60,페르시온
770,마구할퀴기,노말,18,페르시온
771,싫은소리,노말,0,페르시온
772,베어가르기,노말,70,페르시온
773,나쁜음모,악,0,페르시온
774,치근거리기,페어리,90,페르시온
775,할퀴기,노말,40,고라파덕
776,꼬리흔들기,노말,0,고라파덕
777,물대포,물,40,고라파덕
778,염동력,에스퍼,50,고라파덕
779,마구할퀴기,노말,18,고라파덕
780,물의파동,물,60,고라파덕
