,체력,공격,방어,스피드,특수공격,특수방어,점수,승률,포켓몬_번호,사용한_기술의_위력,결과
258,56,35,21,32,40,37,63,87.0,804,51,1
259,37,36,10,20,13,19,41,29.0,183,18,0
260,35,27,30,23,12,14,95,43.0,633,32,0
261,82,33,32,21,30,33,15,64.0,150,85,1
262,80,42,33,38,12,34,9,16.0,477,41,0
263,90,25,29,24,24,20,59,61.0,921,88,1
264,51,30,12,32,25,36,33,61.0,895,63,1
265,63,37,11,24,13,15,81,33.0,561,41,0
266,36,33,40,10,21,22,19,21.0,628,44,0
267,46,29,31,28,20,37,56,70.0,627,74,1
268,77,32,23,10,11,22,12,33.0,769,27,0
269,22,37,13,17,28,18,75,56.0,243,72,1
270,83,43,28,37,24,33,18,28.0,910,31,0
271,29,37,12,20,30,39,79,7.0,998,2,0
272,61,30,24,20,18,15,58,28.0,672,25,0
273,39,29,36,35,24,35,22,35.0,830,1,0
274,75,40,38,29,20,19,11,71.0,198,85,1
275,53,24,18,31,14,38,47,96.0,918,77,1
276,62,46,27,14,30,24,76,85.0,380,76,1
277,66,24,40,34,27,10,66,2.0,1016,40,0
278,28,42,19,15,39,18,95,50.0,18,78,1
279,25,20,26,32,30,18,51,93.0,372,90,1
280,52,26,25,38,28,38,63,56.0,190,80,1
281,78,47,31,24,38,24,30,19.0,693,33,0
282,41,45,22,33,27,39,38,53.0,259,78,1
283,89,24,27,33,20,24,39,2.0,675,48,0
284,69,24,19,20,17,29,0,14.0,588,1,0
285,94,20,11,30,33,27,67,67.0,434,54,1
286,48,31,33,38,26,36,96,69.0,194,83,1
287,41,43,36,17,26,17,8,92.0,990,53,1
288,41,40,33,15,11,30,17,78.0,1004,50,1
289,28,29,19,33,11,34,54,11.0,460,44,0
290,95,28,38,14,26,25,78,98.0,675,72,1
291,61,48,22,15,36,22,69,79.0,698,83,1
292,88,37,14,23,20,23,66,38.0,947,45,0
293,40,27,36,32,28,20,65,35.0,192,42,0
294,87,39,39,15,23,26,14,13.0,708,0,0
295,46,25,36,29,26,25,80,27.0,534,10,0
296,67,48,32,22,27,34,69,11.0,262,25,0
297,47,29,13,38,33,15,18,59.0,281,80,1
298,84,25,19,35,16,30,69,36.0,198,48,0
299,25,32,32,39,25,37,46,61.0,639,63,1
300,50,50,34,17,33,29,17,24.0,155,23,0
301,91,47,34,12,14,11,65,57.0,1010,99,1
302,23,39,19,24,35,35,16,41.0,1005,48,0
303,58,37,37,12,18,37,41,87.0,580,61,1
304,32,46,18,30,40,29,88,7.0,653,0,0
305,22,34,23,19,12,21,34,0.0,5,11,0
306,54,24,11,40,12,37,20,31.0,934,36,0
307,66,39,21,30,10,38,31,31.0,475,1,0
308,95,20,22,32,29,33,95,66.0,615,54,1
309,44,42,30,11,34,14,91,3.0,1006,22,0
310,36,28,17,37,20,17,27,87.0,706,68,1
311,60,20,12,33,34,35,32,62.0,9,54,1
312,40,32,33,15,31,12,76,36.0,821,12,0
313,58,42,11,36,20,10,99,35.0,469,27,0
314,93,22,38,26,15,31,15,27.0,98,10,0
315,89,22,40,29,33,29,37,3.0,13,4,0
316,52,31,34,39,34,13,76,53.0,994,82,1
317,63,21,29,32,18,26,64,58.0,891,61,1
318,27,36,22,27,25,31,50,65.0,532,77,1
319,98,45,20,11,31,39,6,17.0,72,46,0
320,67,38,25,20,30,24,99,46.0,598,21,0
321,76,32,23,13,34,18,10,92.0,637,58,1
322,47,45,33,10,17,12,85,3.0,45,10,0
323,46,40,30,37,40,30,37,85.0,542,72,1
324,46,31,32,16,40,27,94,98.0,195,91,1
325,36,32,39,15,26,40,94,77.0,160,94,1
326,99,46,39,38,11,13,80,60.0,705,70,1
327,55,37,12,35,28,22,5,39.0,706,11,0
328,50,28,21,14,15,36,83,15.0,1010,22,0
329,81,50,39,19,22,38,30,12.0,770,5,0
330,81,20,26,28,20,11,86,48.0,530,17,0
331,35,29,15,22,12,22,74,53.0,117,97,1
332,26,43,21,30,20,16,86,6.0,729,17,0
333,71,47,35,40,22,27,76,70.0,158,85,1
334,30,48,15,38,39,26,18,23.0,551,11,0
335,96,49,31,23,35,22,14,44.0,520,23,0
336,66,37,21,15,23,40,59,79.0,910,56,1
337,45,35,30,22,31,26,82,60.0,491,51,1
338,83,41,37,14,10,15,82,81.0,105,90,1
339,90,22,27,39,22,26,67,50.0,318,52,1
340,71,35,21,37,24,33,45,59.0,889,56,1
341,84,28,14,34,34,37,92,97.0,171,71,1
342,96,48,23,22,28,24,40,37.0,333,32,0
343,24,32,18,38,22,35,5,28.0,425,21,0
344,31,23,27,13,33,24,42,6.0,830,27,0
345,51,27,34,19,23,22,46,22.0,229,13,0
346,52,36,35,31,16,17,12,60.0,327,51,1
347,62,50,30,13,40,26,41,93.0,215,85,1
348,22,25,17,24,31,33,81,59.0,812,57,1
349,75,27,25,32,16,17,82,43.0,277,4,0
350,47,22,20,35,12,32,95,6.0,74,42,0
351,75,21,28,21,39,10,37,40.0,938,9,0
352,57,35,12,14,29,30,39,97.0,725,100,1
353,99,26,38,28,29,37,4,99.0,907,80,1
354,72,26,37,34,11,35,65,81.0,351,97,1
355,31,32,11,13,10,31,0,8.0,986,41,0
356,39,29,29,31,40,12,79,63.0,168,60,1
357,26,23,25,24,19,40,60,49.0,257,4,0
358,83,39,18,18,15,35,11,11.0,752,33,0
359,51,46,33,37,33,23,91,3.0,412,23,0
360,100,26,37,40,13,31,70,11.0,556,29,0
361,56,22,37,10,12,20,0,32.0,410,34,0
362,29,46,18,37,21,23,47,53.0,886,74,1
363,64,26,29,37,10,31,100,21.0,291,10,0
364,61,40,13,38,20,17,34,1.0,491,43,0
365,29,21,25,28,37,35,61,17.0,612,13,0
366,58,47,38,18,13,18,48,8.0,896,46,0
367,81,43,34,24,39,33,69,82.0,563,96,1
368,20,46,23,22,39,32,1,70.0,316,73,1
369,61,49,31,15,15,34,59,96.0,956,71,1
370,31,32,30,12,27,40,83,66.0,271,65,1
371,71,48,22,19,34,16,5,64.0,460,100,1
372,65,46,13,18,38,39,76,98.0,655,55,1
373,66,46,27,36,22,12,84,0.0,42,15,0
374,88,39,13,25,14,16,65,78.0,896,95,1
375,76,22,28,37,14,13,25,72.0,102,77,1
376,88,26,21,16,12,28,61,50.0,852,91,1
377,51,36,24,18,17,34,72,17.0,551,4,0
378,38,50,23,10,15,30,91,29.0,918,48,0
379,74,28,40,27,28,14,54,54.0,643,78,1
380,36,42,32,12,28,10,76,53.0,237,99,1
381,57,41,19,19,31,12,21,79.0,733,99,1
382,82,22,15,16,21,26,91,37.0,792,3,0
383,93,26,22,38,17,24,47,41.0,1006,25,0
384,72,23,28,22,36,21,84,15.0,225,45,0
385,74,30,18,34,37,16,70,34.0,540,31,0
386,65,43,38,35,27,10,12,26.0,4,42,0
387,56,32,40,23,23,33,99,93.0,806,66,1
388,44,38,11,27,28,28,60,49.0,553,40,0
389,61,47,30,34,30,16,95,94.0,231,61,1
390,75,32,18,22,30,39,70,1.0,395,15,0
391,30,44,21,33,35,28,41,94.0,97,79,1
392,58,41,32,40,11,30,87,27.0,444,30,0
393,25,21,30,39,20,30,74,46.0,899,22,0
394,81,21,38,28,24,36,8,69.0,589,81,1
395,57,35,39,20,16,32,77,96.0,962,62,1
396,28,42,40,16,20,33,44,75.0,82,65,1
397,46,25,10,30,12,30,58,83.0,982,56,1
398,78,43,36,26,33,16,1,20.0,973,33,0
399,23,38,40,18,12,14,52,42.0,177,39,0
400,24,50,32,16,18,26,6,24.0,582,10,0
401,59,40,27,23,25,37,90,97.0,932,65,1
402,99,27,22,19,28,35,46,90.0,574,69,1
403,62,34,32,30,31,29,78,56.0,285,51,1
404,98,21,24,26,23,13,36,26.0,290,47,0
405,49,27,31,31,22,20,80,33.0,761,31,0
406,88,25,30,37,28,16,85,23.0,398,14,0
407,45,28,27,15,40,25,25,55.0,311,84,1
408,35,26,13,22,38,28,33,29.0,905,48,0
409,38,35,20,12,15,24,49,55.0,776,93,1
410,76,45,28,22,33,36,60,67.0,298,78,1
411,69,32,12,36,21,11,81,55.0,446,59,1
412,48,23,30,14,24,26,44,83.0,330,74,1
413,65,47,20,22,21,23,9,42.0,807,49,0
414,29,36,34,16,10,11,76,75.0,232,96,1
415,35,50,23,12,12,24,44,97.0,148,91,1
416,41,21,40,25,27,18,11,73.0,98,57,1
417,54,47,24,36,29,16,75,11.0,97,30,0
418,30,27,22,33,33,36,90,95.0,148,69,1
419,85,35,18,40,39,37,57,55.0,1019,97,1
420,73,49,18,18,26,33,71,12.0,515,26,0
421,70,32,12,34,21,26,42,95.0,592,82,1
422,60,27,27,26,38,19,33,78.0,399,54,1
423,46,45,24,18,19,15,48,74.0,1008,76,1
424,97,27,37,38,40,25,17,36.0,838,28,0
425,72,27,13,21,34,34,50,58.0,624,96,1
426,29,21,37,22,18,38,53,82.0,582,60,1
427,41,49,25,39,32,15,21,29.0,410,42,0
428,64,31,37,12,23,36,70,90.0,513,73,1
429,94,21,17,20,11,12,59,48.0,279,45,0
430,21,50,36,12,19,29,98,30.0,540,39,0
431,59,31,10,11,40,20,71,40.0,16,11,0
432,64,26,10,19,21,11,81,87.0,579,74,1
433,68,43,34,23,22,20,94,73.0,820,51,1
434,88,21,37,12,22,28,36,67.0,1,98,1
435,29,47,12,26,13,23,40,24.0,106,22,0
436,62,25,33,39,24,14,8,95.0,21,63,1
437,24,44,35,12,31,35,68,16.0,74,33,0
438,44,40,39,13,19,39,43,43.0,243,20,0
439,83,34,17,38,17,24,35,92.0,732,60,1
440,84,27,26,12,35,12,95,44.0,56,10,0
441,39,50,35,14,16,32,40,97.0,417,88,1
442,72,31,31,20,35,10,92,6.0,727,24,0
443,56,24,36,33,10,25,86,70.0,602,63,1
444,56,24,29,33,33,19,56,62.0,535,79,1
445,76,29,31,10,18,22,10,30.0,272,4,0
446,98,30,34,24,16,34,0,42.0,300,45,0
447,25,21,27,14,23,12,63,41.0,131,0,0
448,85,41,32,16,14,30,98,98.0,512,97,1
449,46,23,25,35,27,29,94,85.0,667,71,1
450,79,41,38,28,10,22,71,67.0,460,96,1
451,81,24,39,15,39,20,11,8.0,413,3,0
452,82,36,10,14,28,14,98,8.0,199,20,0
453,61,43,35,28,27,28,31,80.0,914,79,1
454,29,28,11,18,37,13,72,70.0,290,96,1
455,21,44,30,25,12,40,98,56.0,754,52,1
456,73,25,13,11,18,33,8,68.0,673,54,1
457,49,36,34,11,11,37,72,91.0,806,60,1
458,69,22,23,20,11,23,89,41.0,353,24,0
459,47,25,37,35,17,18,52,74.0,431,83,1
460,90,35,15,22,40,33,46,58.0,809,69,1
461,25,36,32,30,27,39,27,10.0,570,47,0
462,58,48,16,19,32,35,11,48.0,147,0,0
463,100,48,20,35,27,15,53,90.0,367,52,1
464,83,33,14,34,32,15,42,76.0,734,85,1
465,38,40,12,35,22,22,70,36.0,76,8,0
466,94,31,26,20,38,40,82,29.0,134,32,0
467,90,29,40,12,34,35,38,20.0,552,17,0
468,92,25,14,11,26,36,10,89.0,650,62,1
469,47,33,29,36,27,37,100,58.0,694,64,1
470,34,35,10,40,22,14,74,50.0,212,90,1
471,66,27,33,33,18,15,36,8.0,396,15,0
472,57,46,21,21,27,16,71,59.0,840,73,1
473,20,26,11,33,25,21,45,72.0,640,100,1
474,76,40,30,36,23,33,69,83.0,501,57,1
475,92,35,30,19,20,27,30,3.0,427,21,0
476,51,27,10,23,11,34,71,83.0,340,81,1
477,65,40,31,14,30,23,53,64.0,116,80,1
478,67,26,14,21,21,22,77,93.0,288,53,1
479,27,46,24,32,29,38,74,60.0,931,90,1
480,31,29,34,22,18,12,62,24.0,648,48,0
481,87,48,22,34,34,31,100,46.0,686,43,0
482,20,43,22,12,26,31,4,70.0,478,66,1
483,45,23,30,23,39,12,6,71.0,194,94,1
484,100,25,30,28,31,14,53,99.0,540,74,1
485,68,36,36,26,33,25,45,91.0,406,71,1
486,96,36,40,19,36,25,5,25.0,588,21,0
487,74,29,23,38,32,25,62,63.0,302,95,1
488,61,20,17,30,40,24,29,49.0,743,47,0
489,70,33,22,27,15,25,88,93.0,780,52,1
490,30,48,23,13,19,11,0,23.0,597,24,0
491,24,42,30,32,32,30,66,49.0,664,29,0
492,53,41,22,21,18,34,77,11.0,705,6,0
493,43,35,29,25,32,39,41,30.0,645,44,0
494,100,47,34,38,40,24,97,21.0,575,48,0
495,75,26,34,31,12,11,78,68.0,455,80,1
496,45,39,10,10,36,12,66,37.0,625,31,0
497,88,44,30,19,31,26,22,24.0,742,29,0
498,70,35,13,11,39,16,49,34.0,1017,6,0
499,60,49,12,20,24,10,33,52.0,517,77,1
500,96,38,39,14,40,34,27,25.0,0,1,0
501,32,46,17,29,39,26,12,55.0,982,61,1
502,68,41,30,20,27,32,61,66.0,72,63,1
503,46,46,10,16,23,38,1,5.0,57,33,0
504,89,31,35,29,16,10,34,38.0,214,39,0
505,49,21,15,25,22,10,55,86.0,984,72,1
506,73,23,20,18,10,29,6,94.0,993,53,1
507,72,25,22,40,34,10,59,42.0,929,6,0
508,35,22,31,35,36,29,71,14.0,590,22,0
509,25,25,35,33,23,30,59,53.0,886,60,1
510,86,43,26,36,37,15,14,18.0,819,5,0
511,42,34,17,10,40,30,87,93.0,518,80,1
512,78,41,23,33,40,15,64,39.0,27,35,0
513,27,47,40,33,29,21,42,91.0,470,89,1
514,85,39,19,31,15,37,27,9.0,702,24,0
515,44,41,14,33,37,13,10,27.0,583,8,0
516,40,44,27,32,38,28,75,20.0,872,8,0
517,96,30,36,37,34,28,63,94.0,588,69,1
518,55,50,13,12,30,31,20,52.0,466,85,1
519,67,22,22,24,14,17,79,78.0,5,88,1
520,24,34,17,10,24,11,36,9.0,362,28,0
521,22,31,33,14,34,21,86,26.0,414,9,0
522,36,26,16,29,33,30,81,70.0,376,79,1
523,52,48,15,27,31,38,82,2.0,804,40,0
524,31,22,31,21,18,20,87,66.0,597,82,1
525,33,38,40,16,22,19,25,89.0,654,92,1
526,39,50,32,19,31,38,32,15.0,428,48,0
527,89,32,17,17,17,11,100,72.0,748,72,1
528,50,29,13,37,17,11,99,59.0,106,97,1
529,22,48,20,18,31,37,72,47.0,42,0,0
530,97,46,22,20,12,30,91,16.0,290,13,0
531,47,22,10,29,28,35,14,97.0,310,65,1
532,80,28,25,29,17,12,21,17.0,826,10,0
533,81,30,29,19,16,38,61,100.0,245,87,1
